Gene symbol,Category,Mouse ortholog,Zebrafish orthologs,D. melanogaster orthologs,C. elegans orthologs,Immunolocalisation evidence***,Antibodies,C. elegans protein tagging studies,BM Interactors,Cell surface Interactors,BM substrate,"Subcellular localization (UNIPROT, Human Protein Atlas)",Matrixome 
ISLR,Basement membrane,Islr,islr2,-,-,-,-, -,"FN1,SPARC,TGFB1,TGFB2,THBS1,TIMP1",-,-,"Cell membrane, Membrane, Secreted",No
LAD1,Basement membrane,Lad1,lad1,-,-,PMID: 15654956 (H),"PMID: 15654956, LAD-1 (123) Ab", -,-,-,-,"Basement membrane, Cell junction, Extracellular matrix, Membrane, Secreted, Intracellular",No
LAMA1,Basement membrane,Lama1,lama1,wb,"epi-1,lam-3","PMID: 15102706 (M)
PMID: 23896970 (M)
PMID: 29795281 (H)
PMID: 30377295 (H)
PMID: 18378436 (H)
The Matrixome Project (M)","PMID: 15102706, α-LNα1 clone 8B3 (in-house)
PMID: 23896970, α-LNα1 8B3 (From PMID 2480964) 
PMID: 29795281, α-LNα1 (LifeSpan Biosciences #LS-C119557)
PMID: 30377295, α-LNα1 (Novus Biologicals #4656), α-Laminin (LifeSpan Biosciences #LS-C25112)
PMID: 18378436, rabbit antiserum raised against laminin a1 HK-175
The Matrixome Project, Rat mAb 5B7-H1 (MATRIXOME PJ)","EPI-1, LAM-3","AGRN,COL17A1,COL18A1,FBLN2,HSPG2,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,NID1,NID2,NTN4","DAG1,GPC1,ITGA1,ITGA10,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,RPSA,SDC4",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
LAMA2,Basement membrane,Lama2,lama2,wb,"epi-1,lam-3","PMID: 29961810 (M)
PMID: 14729866 (M)
PMID: 24895400 (R)
PMID: 23139348 (M)
PMID: 17962449 (H)
PMID: 22382594 (H)
PMID: 17927980 (H)
PMID 29759420 (M)
The Matrixome Project (M)","PMID: 29961810, mouse ɑ-laminin a2 (Santa Cruz, SC-55 605) 
PMID: 14729866, rat ɑ-human laminin alpha 2 4H8 (Alexis Biochemicals)
PMID: 24895400, rabbit ɑ-laminin a2 or rat clone 4H8 antibody
PMID: 23139348, ɑ-laminin a2 401 or 4h8
PMID: 17962449, Mouse mAb laminin a2 1F9
PMID: 22382594, laminin a2 antibody
PMID: 17927980, affinity purified rabbit pAb - mouse LG1-3 domain and human clone 4H8-2
PMID 29759420, rat ɑ-Laminin alpha-2 (MilliporeSigma, L-0663)
The Matrixome Project, Rat mAb clone 4H8-2, cat. L0663 (Sigma-Aldrich)","EPI-1, LAM-3","AGRN,HSPG2,LAMA1,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,NID1,NID2,NTN4","DAG1,ITGA1,ITGA10,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,RPSA",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
LAMA3,Basement membrane,Lama3,lama3,LanA,"epi-1,lam-3","PMID: 30377295 (H)
PMID: 29795281 (M)
PMID: 25915046 (H)
PMID: 17962449 (H)
The Matrixome Project (M)","PMID: 30377295, LAMA3 antibody (BM165)
PMID: 29795281, pAb recognises all three chains of laminin-332
PMID: 25915046, mouse MAb ɑ-LN5 (Chemicon)
PMID: 17962449, Mouse mAb (BM165)
The Matrixome Project, Rat mAb M35-N3-B9 (MATRIXOME PJ)","EPI-1, LAM-3","AGRN,COL17A1,COL7A1,HSPG2,LAMA1,LAMA2,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,MMP2,MMP7,NID1,NID2,NTN4,USH2A","CD151,DAG1,ITGA1,ITGA10,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,ITGB6,MMP14,RPSA,SDC4",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
LAMA4,Basement membrane,Lama4,lama4,LanA,"epi-1,lam-3","PMID: 30377295 (H)
PMID: 14729866 (M)
PMID: 29795281 (M)
PMID: 23139348 (M)
PMID: 17962449 (H)
The Matrixome Project (M)","PMID: 30377295, LAMA4 (Abnova, MAB7869)
PMID: 14729866, Rabbit ɑ-mouse laminin alpha 4
PMID: 29795281, mouse ɑ-hLAMA4 3H2 mAb (Millipore, MABT38)
PMID: 23139348, ɑ-human/mouse 377 and ɑ-human 3D12 LAMA4 (9882526)
PMID: 17962449, rabbit pAb (377; 1100+(LG4-5); 1101+(LG4-5); C0877) mouse mAb FC10
The Matrixome Project, Rat mAb M49-N7-F3 (MATRIXOME PJ)","EPI-1, LAM-3","AGRN,HSPG2,LAMA1,LAMA2,LAMA3,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,NID1,NID2,NTN4","DAG1,ITGA1,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,ITGB6,ITGB8,RPSA",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
LAMA5,Basement membrane,Lama5,lama5,LanA,"epi-1,lam-3","PMID: 23139348 (M)
PMID: 23308268 (H)
PMID: 23896970 (M)
PMID: 24137544 (H)
PMID: 25915046 (H)
PMID: 26024079 (H)
PMID: 29795281 (H)
PMID: 30377295 (H)
PMID: 32035013 (M)
The Matrixome Project","PMID: 23139348, α-LNα5 4C7 (PMID: 2430984) α-LNα5 LEb-L4b domains (PMID: 9151674)
PMID: 23308268, α-LNα5 8G9 (in-house)
PMID: 23896970, α-LNα5 (From PMID: 9151674) 
PMID: 24137544, α-LNα5 4C7 (PMID: 2430984), α-LNα5 LEb-L4b domains (PMID: 9151674)
PMID: 25915046, α-LNα5 (Chemicon)
PMID: 26024079, α-LNα5 4C7 (PMID: 2430984), α-LNα5 LEb-L4b domains (PMID: 9151674)
PMID: 29795281, α-LNα5 4C7 (Millipore #MAB1924)
PMID: 30377295, α-LNα5 (Abnova #H00003911-M01)
PMID: 32035013, α-LNα5 (Millipore #MAB1924)
The Matrixome Project, Rat mAb M5N8-C8 (MATRIXOME PJ)","EPI-1, LAM-3","AGRN,HSPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,NID1,NID2,NTN4,USH2A","DAG1,ITGA1,ITGA10,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,ITGB6,MMP14,RPSA,SDC1",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
LAMB1,Basement membrane,Lamb1,"lamb1a,lamb1b",LanB1,lam-1,"PMID: 30377295 (H)
PMID: 29795281 (H)
PMID: 26024079 (H)
PMID: 22382594 (H)
PMID: 17927980 (H)
The Matrixome Project (M)","PMID: 30377295, LAMB1 (Abcam, ab44941)
PMID: 29795281, ɑ-hLAMB1 clone 4E10 (Millipore, MAB1921)
PMID: 26024079, ɑ-LAMB1 
PMID: 22382594, affinity purified polyclonal rabbit ɑ-laminin β1 chain
PMID: 17927980, affinity purified polyclonal rabbit antibody to β1
The Matrixome Project, Rat mAb 1B5-D12 (MATRIXOME PJ)",LAM-1,"AGRN,AMELX,AMTN,COL17A1,COL18A1,COL4A1,CST3,FBN1,FN1,HSPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB2,LAMB3,LAMC1,LAMC2,LAMC3,NID1,NID2,NTN4,SPARCL1,TIMP1,TNC,USH2A,VCAN,VWA1","ADAM10,DAG1,EVA1A,GPC3,ITGA1,ITGA2,ITGA3,ITGA5,ITGA6,ITGA7,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,ITGB6,MMP14,RPSA",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
LAMB2,Basement membrane,Lamb2,lamb2,LanB1,lam-1,"PMID: 30377295 (H)
PMID: 29795281 (H)
PMID: 24137544 (H)
PMID: 26024079 (H)
The Matrixome Project (M)","PMID: 30377295, LAMB2 (Lifespan Bioscience, LS-C88433)
PMID: 29795281, ɑ-mouse Laminin β2, clone 5A (Millipore, 05-206)
PMID: 24137544, rabbit ɑ-mouse Laminin β2, LF-domain 
PMID: 26024079, ɑ-hLAMB2
The Matrixome Project, Rat mAb B24-N8-D6 (MATRIXOME PJ)",LAM-1,"AGRN,AMELX,AMTN,CST3,FBN1,FN1,HSPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB3,LAMC1,LAMC2,LAMC3,NID1,NID2,NTN4,SPARCL1,TIMP1,TNC,USH2A,VCAN,VWA1","ADAM10,DAG1,EVA1A,GPC3,ITGA1,ITGA2,ITGA3,ITGA6,ITGA7,ITGB1,ITGB4,RPSA",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
LAMB3,Basement membrane,Lamb3,-,LanB1,lam-1,"PMID: 30377295 (H)
PMID: 26024079 (H)
PMID: 25915046 (H)
PMID: 17962449 (H)
The Matrixome Project (M)","PMID: 30377295, LAMB3 (Santa Cruz, sc-20775)
PMID: 26024079, ɑ-laminin beta 3 (Thermo Fisher Scientific)
PMID: 25915046, mouse MAb ɑ-LN5 (Chemicon International)
PMID: 17962449, mouse mAb 6F12 to b3 and laminin-332 rabbit pAb 4101
The Matrixome Project, Rat mAb B31-N8-G8 (MATRIXOME PJ)",LAM-1,"AGRN,COL17A1,COL7A1,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMC1,LAMC2,LAMC3,MMP2,MMP7","CD151,DAG1,ITGA1,ITGA2,ITGA3,ITGA5,ITGA6,ITGAV,ITGB1,ITGB4,ITGB5,ITGB6,MMP14,RPSA",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
LAMB4,Basement membrane,-,lamb4,LanB1,lam-1,PMID: 28595269 (H),"PMID: 28595269, rabbit ɑ-hLAMB4 (Sigma, HPA020242)",LAM-1,-,"ITGA8,ITGB4",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",No
LAMC1,Basement membrane,Lamc1,lamc1,LanB2,lam-2,"PMID: 30377295 (H)
PMID: 26024079 (H)
PMID: 23139348 (M)
PMID: 29795281 (H)
PMID: 28689015 (H)
The Matrixome Project (M)","PMID: 30377295, LAMC1 (Millipore, MAB1914P) 
PMID: 26024079, Laminin γ1 clone 3E10 
PMID: 23139348, Laminin γ1 clone 3E10, in-house
PMID: 29795281, Laminin γ1, clone B17 mouse mAb (LifeSpan BioScience, LS-C119566)
PMID: 28689015,  Laminin γ1, rabbit pAb (Santa Cruz Biotechnology, sc-17763)
The Matrixome Project, A5, MAB1914 (Chemicon International)",LAM-2,"AGRN,AMELX,AMTN,COL18A1,CST3,FBN1,FN1,HSPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC2,LAMC3,NID1,NID2,NTN4,SPARCL1,TIMP1,TNC,VCAN,VWA1","ADAM10,DAG1,EVA1A,GPC3,ITGA1,ITGA10,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGA7,ITGA8,ITGA9,ITGAV,ITGB1,ITGB3,ITGB4,ITGB5,ITGB6,ITGB7,MMP14,RPSA",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
LAMC2,Basement membrane,Lamc2,lamc2,LanB2,lam-2,"PMID: 30377295 (H)
PMID: 24070183 (H)
PMID: 25915046 (H)
PMID: 10554040 (H)
PMID: 9721586 (H)
PMID: 17962449 (H)
The Matrixome Project (M)","PMID: 30377295, LAMC2 Ab P26 
PMID: 24070183, ɑ-laminin gamma 2 (Dako, M7262)
PMID: 25915046, mouse MAb ɑ-LN5 (Chemicon International)
PMID: 10554040, in-house mouse MAb ɑ-hLAMC2 
PMID: 9721586, in-house mouse MAb ɑ-hLAMC2 D4B5
PMID: 17962449, mouse mAb d4B5 (Chemicon) and rabbit pAb J20 and laminin-332 rabbit pAb 4101
The Matrixome Project, Rat mAb C21-N1-C9 (MATRIXOME PJ)",LAM-2,"AGRN,COL17A1,COL7A1,HSPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC3,MMP2,MMP7","CD151,CD44,DAG1,ITGA1,ITGA2,ITGA3,ITGA4,ITGA5,ITGA6,ITGAV,ITGB1,ITGB4,ITGB5,ITGB6,MMP14,RPSA",-,"Basement membrane, Extracellular matrix, Secreted",Yes
LAMC3,Basement membrane,Lamc3,lamc3,LanB2,lam-2,"PMID: 30377295 (H)
PMID: 29795281 (H)
PMID: 22961762 (M)
PMID: 22222602 (M)
PMID: 22382594 (H)
PMID: 17927980 (H)
The Matrixome Project (M)","PMID: 30377295, LAMC3 (Assay Biotech, C13074)
PMID: 29795281, rabbit pAb ɑ-Laminin γ3 (LifeSpan BioScience, LS-C119566)
PMID: 22961762, rabbit polyclonal ɑ-laminin γ3 6296
PMID: 22222602, ɑ-laminin gamma3 6296, in-house
PMID: 22382594, ɑ-laminin gamma 3
PMID: 17927980, affinity purified rabbit pAb to laminin gamma3
The Matrixome Project, Rat mAb C38-N4-F4 (MATRIXOME PJ)",LAM-2,"AGRN,HSPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMB3,LAMC1,LAMC2,NID1,NID2,NTN4","DAG1,ITGA1,ITGA2,ITGA3,ITGA5,ITGA6,ITGB1,RPSA",-,"Basement membrane, Extracellular matrix, Secreted, Intracellular",Yes
LOXL1,Basement membrane,Loxl1,loxl1,Loxl1, -,Human Protein Atlas (H),"HPA, rabbit ɑ-LOXL1 pAb (Atlas Antibodies, HPA042111) ", -,"FBLN5,FBN1,LOXL2,LOXL4,TLL1",-,"Collagen types II, IV, VI, VIII",Secreted,No
LOXL2,Basement membrane,Loxl2,"loxl2a,loxl2b",Loxl2, -,"PMID: 29759420 (M)
PMID: 21835952 (R)
PMID: 28196225 (H)","PMID: 29759420, goat ɑ-LOXL2 (R&D Systems, AF2639) and rabbit ɑ-LOXL2 (Abcam, ab96233)
PMID: 21835952, ɑ-LOXL2 (Santa Cruz Biotechnology and Abnova)
PMID: 28196225, mouse ɑ-human LOXL2 (Sigma-Aldrich Corp) ", -,"FBLN5,LOXL1,LOXL4,TLL1",-,"Collagen types II, IV, VI, VIII","Basement membrane, Chromosome, Endoplasmic reticulum, Extracellular matrix, Nucleus, Secreted",No
LOXL4,Basement membrane,Loxl4,loxl4,-, -,"PMID: 28196225 (H)
Human Protein Atlas (H)","PMID: 28196225, mouse ɑ-human LOXL4 (Sigma-Aldrich Corp)
HPA, ɑ-LOXL4, rabbit pAb (Atlas Antibodies, HPA037609)", -,"FBLN5,LOXL1,LOXL2,TLL1",-,"Collagen types II, IV, VI, VIII",Secreted,No
LUM,Basement membrane,Lum,lum,-, -,"PMID: 23074202 (H)
PMID: 18951514 (M)
PMID: 11012890 (H)","PMID: 23074202, pAb Lumican AP (R&D Systems) 
PMID: 18951514, polyclonal ɑ-mouse lumican (whole molecule) (R&D Systems, AF2745)
PMID: 11012890, rabbit ɑ-C terminal of hLUM ", -,"ACAN,COL2A1,COL4A1,COL4A2,COL4A3,COL4A4,COL4A5,COL4A6,COL5A1,COL6A3,COL7A1,COL8A1,DCN,FBN1,FMOD,FN1,MMP2,OGN,POSTN,TGFB1,TGFB2,THBS2,VCAN","ITGA2,ITGB1,MMP14",-,"Extracellular matrix, Secreted",No
MATN1,Basement membrane,Matn1,matn1,-,C16E9.1,-,-,C16E9.1,COL2A1,-,-,"Extracellular matrix, Secreted",No
MATN2,Basement membrane,Matn2,-,Frac, -,"PMID: 24895400 (R)
PMID: 24741569 (M)
PMID: 18386166 (H)
PMID: 12164922 (H)
PMID: 24691449 (M)
PMID: 17962449 (H)","PMID: 24895400, goat ɑ-matriin-2 (R&D Systems, AF3234) and rabbit ɑ-matriin-2
PMID: 24741569, pAb against C-term of mouse matriin-2, in-house
PMID: 18386166, rabbit polyclonal antiserum against matriin-2
PMID: 12164922, polyclonal affinity-purified antisera against matriin-2
PMID: 24691449, goat pAb matrilin-2 (R&D Systems, AF3234)
PMID: 17962449, rabbit pAb matrilin-2", -,-,-,-,"Secreted, Intracellular",No
MATN4,Basement membrane,Matn4,matn4,-, -,"PMID: 11279097 (M)
PMID: 17962449 (H)
PMID: 15296947 (M)","PMID: 11279097, rabbit pAb matrilin-4 
PMID: 17962449, rabbit pAb matrilin-4
PMID: 15296947, rabbit pAb matrilin-4", -,-,-,-,Secreted,No
MEP1A,Basement membrane,Mep1a,"mep1a.1,mep1a.2",-,"Worms have 40 genes in the astacin family (nas-1 to nas-40). Only nas-39 is conserved, the clear TLL1 ortholog",PMID: 17195012 (H),"PMID: 17195012, rabbit polyclonal antisera against human meprin alpha, in-house ",-,MEP1B,-,"Collagen type IV, FN1, laminin-111, laminin-332, MMP1, NID1, TNC, ",Membrane,No
MEP1B,Basement membrane,Mep1b,mep1b,CG6696,"Worms have 40 genes in the astacin family (nas-1 to nas-40). Only nas-39 is conserved, the clear TLL1 ortholog",PMID: 17195012 (H),"PMID: 17195012, rabbit polyclonal antisera against human meprin beta, in-house",-,MEP1A,-,"ADAM10, ADAM17, ADAM9, collagen IV, FN1, laminin, laminin-332, MMP1, NID1, TNC","Secreted, Cell membrane, Membrane, Intracellular",No
MMP1,Basement membrane,"Mmp1a, Mmp1b",-,Mmp1,"zmp-1,zmp-2,zmp-3,zmp-4,zmp-5,zmp-6","PMID: 22262460 (D)
PMID: 15781634 (H)","PMID: 22262460, anti–Mmp1 catalytic domain (mouse monoclonal immunoglobulin cocktail- antibodies 3B8, 5H7, and 23G (Developmental Studies Hybridoma Bank)
PMID: 15781634, ɑ-MMP1 Ab-1 (Merck Biosciences)",ZMP-4,"ACAN,BCAN,FN1,MMP2,MMP7,NID1,TGFB1,TIMP1,TIMP2,TIMP3",SDC1,"COL4A2, DCN, Native collagens VII, VIII, Fibronectin, Laminin-5, ACAN, BCAN, VTN, NID, TNC, HSPG2 (PMID: 22523364)","Extracellular matrix, Secreted",No
MMP2,Basement membrane,Mmp2,mmp2,Mmp2,"zmp-1,zmp-2,zmp-3,zmp-4,zmp-5,zmp-7","PMID: 28584626 (H)
PMID: 32686670 (D)
PMID: 22688677 (M)","PMID: 28584626, ɑ-MMP2 (Spring Bioscience, E18014)
PMID: 32686670, rabbit ɑ-Mmp2 in-house #436 (PMID: 26603384)
PMID: 22688677, goat ɑ-mouse MMP-2 (R&D Systems)",ZMP-4,"ACAN,BCAN,COL18A1,COL5A1,COL6A1,COL6A2,DCN,FBN1,LAMA3,LAMB3,LAMC2,LUM,MMP1,MMP7,OPTC,POSTN,RECK,SPARC,SPOCK3,TGFB1,THBS1,THBS2,TIMP1,TIMP2,TIMP3","CD44,ITGAM,ITGB2,MMP14","Collagen types IV and V, FBLN1, FBLN2, laminin, VTN, Native collagens VII, FN1, NID, ACAN, DCN, FBN, LN-332, TNC, SPARC, VCAN, BCAN, DAG, CSPG4 (PMID: 22523364)","Extracellular matrix, Cytoplasm, Membrane, Mitochondrion, Nucleus, Secreted",No
MMP7,Basement membrane,Mmp7,mmp7,-,"zmp-1,zmp-2,zmp-3,zmp-4,zmp-5,zmp-8","PMID: 30878215 (H)
PMID: 10660581 (R)","PMID: 30878215, ɑ-MMP-7 (GeneTex, GTX11716)
PMID: 10660581, rabbit polyclonal ɑ-rat recombinant MMP7 (RM7-C), in-house",ZMP-4,"ACAN,BCAN,COL15A1,COL18A1,DCN,FN1,LAMA3,LAMB3,LAMC2,MMP1,MMP2,NID1,OPTC,TIMP1,TIMP2,TIMP3","CD44,SDC1","ACAN, collagen type IV, DCN, FN1, laminin-111, laminin-332, entactin/nidogen, HSPG2, proMMP1, SDC2, TNC, Non helical segments of native collagen V, VTN, SPARC, BCAN, FBLN, VCAN (PMID: 22523364)","Extracellular matrix, Secreted",No
MMP17,Basement membrane,Mmp17,"mmp17a,mmp17b",-,"zmp-1,zmp-2,zmp-3,zmp-4,zmp-5,zmp-9",-,-,ZMP-4,"TIMP1,TIMP2",MMP14,-,"Extracellular matrix, Cell membrane, Membrane, Secreted",No
MMP21,Basement membrane,Mmp21,mmp21,-,"zmp-1,zmp-2,zmp-3,zmp-4,zmp-5,zmp-10",-,-,ZMP-4,-,-,ACAN (PMID: 22523364),Secreted,No
MMP26,Basement membrane,-,-,-,"zmp-1,zmp-2,zmp-3,zmp-4,zmp-5,zmp-11","PMID: 17244319 (H)
PMID: 17996844 (H)
PMID: 15816845 (H)
PMID: 12491508 (H)
PMID: 15185874 (H)","PMID: 17244319, polyclonal rabbit MMP-26, in-house
PMID: 17996844, polyclonal rabbit MMP-26, in-house
PMID: 15816845, two ɑ-MMP26
PMID: 12491508, antihuman MMP‐26 peptide polyclonal antibody, in-house
PMID: 15185874, polyclonal antibody to MMP-26, in-house",ZMP-4,-,-,"Native collagen IV, FN1, VTN (PMID: 22523364)","Extracellular matrix, Secreted",No
MMRN2,Basement membrane,Mmrn2,"mmrn2a,mmrn2b",-, -,"PMID: 18757743 (M)
The Matrixome Project (M)","PMID: 18757743, pAb ɑ-EndoGlyx-1 64-1 (MATRIXOME PJ)
The Matrixome Project, pAb ɑ-EndoGlyx-1 64-1 (MATRIXOME PJ)", -,-,-,-,"Extracellular matrix, Secreted, Intracellular",Yes
NELL1,Basement membrane,Nell1,nell2b,-, -,PMID: 31901340 (H),"PMID: 31901340, rabbit pAb ɑ-NELL1 (Sigma, HPA051535)", -,-,-,-,"Secreted, Cytoplasm, Nucleus",No
NELL2,Basement membrane,Nell2,"nell2a,nell2b",-, -,Human Protein Atlas (H),"HPA, rabbit ɑ-NELL2 pAb (Atlas Antibodies, HPA035715) ", -,-,-,-,Secreted,No
NID1,Basement membrane,Nid1,"nid1a,nid1b",Ndg,nid-1,"PMID: 22952693 (H)
PMID: 24280453 (M)
PMID: 30276677 (H)
PMID: 10958695 (M)
PMID: 25807551 (M)
PMID: 9733643 (M)
The Matrixome Project (M)","PMID: 22952693, ɑ-Nid1 (R&D Systems)
PMID: 24280453, ɑ-nidogen 1 polyclonal rabbit 
PMID: 30276677, ɑ-human nidogen 1/entactin affinity purified polyclonal antibody (R&D systems, AF2570)
PMID: 10958695, polyclonal rabbit sera against nidogen 1
PMID: 25807551, ɑ-Nid-1 (Abcam, ab14511)
PMID: 9733643, rat mAb against mouse nidogen-1
The Matrixome Project, Rat mAb ɑ-Nidogen1 ELM1, cat. RT797 (NeoMarkers)",NID-1,"AGRN,COL4A1,COL4A2,FN1,HSPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMC1,LAMC3,MMP1,MMP7,NID2,SPARC","ITGA3,ITGB1,MMP14",-,"Basement membrane, Extracellular matrix, Secreted",Yes
NID2,Basement membrane,Nid2,"nid2a,nid2b",Ndg,nid-1,"PMID: 22952693 (H)
PMID: 24280453 (M)
PMID: 23263623 (M)
PMID: 25807551 (M)
PMID: 22260998 (M)
PMID: 17962449 (H)
PMID: 22382594 (H)
PMID: 9733643 (M)
PMID: 17927980 (H)
The Matrixome Project (M)","PMID: 22952693, ɑ-NID2 (R&D Systems)
PMID: 24280453, ɑ-nidogen 2 polyclonal rabbit 
PMID: 23263623, ɑ-nidogen-2 polyclonal 
PMID: 25807551, ɑ-Nid-2 (Abcam, ab14513) 
PMID: 22260998, rabbit polyclonal ɑ-NID2 
PMID: 17962449, rabbit pAb entactin-2/nidogen-2 1080   
PMID: 22382594, ɑ-nidogen-2 
PMID: 9733643, rabbit pAb ɑ-entactin-2/nidogen-2 1080, in-house
PMID: 17927980, affinity purified polyclonal rabbit Ab to nidogen-2
The Matrixome Project, Rabbit pAb nd2c (MATRIXOME PJ)",NID-1,"COL4A1,HSPG2,LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMC1,LAMC3,NID1",-,-,"Basement membrane, Extracellular matrix, Secreted",Yes
NPNT,Basement membrane,Npnt,"npnt1a,npnt1b",-, -,"PMID: 29335243 (M)
PMID: 28476557 (H)
PMID: 28345658 (M)
PMID: 24436468 (H)
PMID: 11470831 (M)
The Matrixome Project (M)","PMID: 29335243, affinity-purified nephronectin, in-house (PMID: 11470831)
PMID: 28476557, ɑ-NPNT (Abcam)
PMID: 28345658, npnt antibody (R&D Systems)
PMID: 24436468, nephronectin mAb (Abcam, ab64419)
PMID: 11470831, affinity-purified nephronectin, in-house
The Matrixome Project, Rabbit pAb ɑ-Npnt nnS", -,-,"ITGA8,ITGB1",-,"Extracellular matrix, Secreted",Yes
NTN1,Basement membrane,Ntn1,"ntn1a,ntn1b","NetA,NetB",unc-6,"PMID: 29444422 (M)
PMID: 12636918 (M)
PMID: 10654596 (M)
PMID: 14602071 (H)
The Matrixome Project (M)","PMID: 29444422, goat ɑ-Netrin-1 (R&D Systems)
PMID: 12636918, rabbit ɑ-netrin-1 pAb 11760, in-house
PMID: 10654596, rabbit ɑ-netrin-1 pAb 11760, in-house
PMID: 14602071, ɑ-Netrin-1 Ab-2 antibody (Oncogene)
The Matrixome Project, Rabbit pAb ɑ-Netrin 1 Ab-2, cat. PC364 (Calbiochem)",UNC-6,"SLIT1,SLIT2,SLIT3","DCC,ROBO1,ROBO2,ROBO3,ROBO4,UNC5A,UNC5B,UNC5C,UNC5D",-,"Secreted, Cytoplasm",Yes
NTN4,Basement membrane,Ntn4,ntn4,-, -,"PMID: 33636396 (H)
PMID: 17545519 (H)
PMID: 26732856 (M)
PMID: 22281059 (M)
PMID: 28253401 (M)
PMID: 17588941 (M)
PMID: 25896609 (M)
PMID: 33495631 (M)
The Matrixome Project (M)","PMID: 33636396, Goat ɑ-human NTN4 (R&D Systems, AF1254)
PMID: 17545519, Goat ɑ-human NTN4 (R&D Systems, AF1254)
PMID: 26732856, rabbit ɑ-Netrin-4	
PMID: 22281059, rabbit polyclonal ɑ-netrin-4 KR1 and R33, in-house
PMID: 28253401, rabbit polyclonal ɑ-netrin-4
PMID: 17588941, rabbit polyclonal ɑ-netrin-4 KR1, in-house
PMID: 25896609, netrin 4 polyclonal antibody (R&D systems, AF1132)
PMID: 33495631, polyclonal rabbit ɑ-Net4
The Matrixome Project, Rabbit pAb nt4 (MATRIXOME PJ)", -,"LAMA1,LAMA2,LAMA3,LAMA4,LAMA5,LAMB1,LAMB2,LAMC1,LAMC3","DCC,UNC5A,UNC5B",-,"Basement membrane, Extracellular matrix, Secreted",Yes
OGN,Basement membrane,Ogn,"ogna,ognb",-, -,-,-, -,"ACAN,COL14A1,FMOD,LUM",-,-,"Extracellular matrix, Secreted, Intracellular",No
OPTC,Basement membrane,Optc,optc,-, -,"PMID: 23074202 (H)
PMID: 22159013 (M)
PMID: 15090426 (H)","PMID: 23074202, antibody against opticin G21AP
PMID: 22159013, rabbit polyclonal antibody against opticin G21AP, in-house
PMID: 15090426, two rabbit pAb against human OPTC (OPT-A and OPT-C), in-house", -,"MMP2,MMP7",-,-,"Extracellular matrix, Secreted",No
